id,text,fromRandom,img,preText,leftText,leftLink,leftMoney,leftHealth,leftSociety,leftLaw,leftTime,rightText,rightLink,rightMoney,rightHealth,rightSociety,rightLaw,rightTime
1,Сегодня мне 65 лет и я выхожу на пенсию,,1.png,,Ура!,2,,,,,,Буду отрываться всю ночь!,2,,,,,
2,Чем бы мне сегодня заняться?,,2.png,,Начинаю новую жизнь,3,,,,,,Начинаю новую жизнь,3,,,,,
3,А вот и первое дело,,3.png,,И что же там?,,,,,,,Посмотримс,,,,,,
4,"Перехожу дорогу ",1,10.png,,Красный,,-1,1,,1,2,Зеленый,,,-2,,-2,
5,Поздравлю ка я брата с днем рождения,1,11.png,,Обойдется,,,,-2,,,Поздравить,,-1,,2,,
6,"Ёшкин кот, опять эти автомобили",1,10.png,,Промолчать,,,,,,,Сказать,,,,,,
7,"Какое красивое здание, тут я первый раз поцеловался",1,10.png,,Отогнать мысли,,,,,,,Вспомнить молодость,,,,,,
8,Давно меня не было в уличных гонках,1,19.png,,,,,,,,,,,,,,,
9,"Скучно, вызову ка я скорую",1,12.png,,Не вызывать,,,,,,,Вызвать,,,,,,
10,Что-то я давно не ездил в 8 утра в больницу...,1,12.png,,Поехать на такси,,,,,,,Поехать на автобусе,,,,,,
11,"Милочка, не дашь номерок?",1,12.png,,Не спрашивать,,,,,,,Спросить,,,,,,
12,Что-то накопилось много хлама на балконе,1,13.png,,Оставить,,,,,,,Продать,,,,,,
13,"О, что-то блестит в мусорке",1,13.png,,Пройти мимо,,,,,,,Посмотреть,,,,,,
14,Завалялся мусор в кармане,1,13.png,,Выкинуть рядом с мусоркой,,,,,,,Выкинуть в мусорку,,,,,,
15,Встретил деда мороза,1,11.png,,Попросить подарок,,,,,,,Подарить подарок,,,,,,
16,Я участвовал в розыгрыше,1,11.png,,Выйграл яхту,,,,,,,Выйграл 500 рублей,,,,,,
17,Нужно посадить огород,1,15.png,,Посадить в мае,,,,,,,Посадить в июне,,,,,,
18,"Урожая слишком много, пойду продам на базаре",1,15.png,,Продавать дорого,,,,,,,Продавать дешево,,,,,,
19,Достал меня сосед своими гулянками,1,15.png,,Кинуть помидор в окно,,,,,,,Подарить помидор,,,,,,
20,"О, в магазин привезли свежее молоко",1,16.png,,Купить молоко,,,,,,,Сделать комплиент кассирше,,,,,,
21,"Что-то мне одиноко, позову Снежану на свидание",1,16.png,,Пригласить на променад,,,,,,,Сказать что-то несвязное,,,,,,
22,"Забыл, как зовут кассиршу",1,16.png,,Снежана,,,,,,,Анджелика,,,,,,
